x,s1,s2,s3,s4,s5
0.8748626541325846,-1.0000000914149278,-0.7497448131436911,-0.7260730998353582,-0.023671713308332953,-0.013325313487936296
0.874984739348065,-1.0000000071840156,-0.7499889117353139,-0.7260640991069199,-0.023924812628393965,-0.013262835251371473
0.8751068245635454,-0.9999999228237652,-0.7502330101250858,-0.7260695450501483,-0.024163465074937496,-0.013192698235678008
0.8752289097790258,-0.9999998383339527,-0.7504771083127681,-0.7260896129205685,-0.024387495392199643,-0.013114948127071133
0.8753509949945062,-0.9999997537143444,-0.7507212062981221,-0.7261244692347357,-0.024596737063386387,-0.01302963499843764
0.8754730802099866,-0.9999996689646492,-0.7509653040808014,-0.7261742716511861,-0.024791032429615334,-0.012936813277448049
0.875595165425467,-0.9999995840846395,-0.751209401660623,-0.7262391688566173,-0.024970232804005676,-0.012836541712165047
0.8757172506409474,-0.9999994990740628,-0.7514534990372645,-0.7263193004573835,-0.025134198579881084,-0.01272888333416984
0.8758393358564278,-0.9999994139326255,-0.7516975962104656,-0.7264147968763843,-0.025282799334081285,-0.01261390541922928
0.8759614210719082,-0.9999993286601346,-0.7519416931799813,-0.726525779255413,-0.025415913924568323,-0.012491679445528266
0.8760835062873886,-0.9999992432563225,-0.7521857899455292,-0.7266523593630494,-0.02553343058247981,-0.012362281049493102
0.876205591502869,-0.9999991577208796,-0.7524298865068176,-0.7267946395081503,-0.02563524699866737,-0.012225789979233027
0.8763276767183494,-0.9999990720536079,-0.7526739828636039,-0.7269527124590006,-0.025721270404603258,-0.012082290045628372
0.8764497619338298,-0.9999989862542366,-0.7529180790155969,-0.7271266613681879,-0.025791417647409,-0.011931869071095565
0.8765718471493102,-0.9999989003224816,-0.7531621749625399,-0.7273165597032759,-0.025845615259263988,-0.011774618836059228
0.8766939323647907,-0.9999988142580548,-0.7534062707041046,-0.7275224711832873,-0.02588379952081732,-0.011610635023165155
0.8768160175802711,-0.9999987280607558,-0.7536503662400709,-0.7277444497210935,-0.025905916518977334,-0.011440017159267003
0.8769381027957515,-0.9999986417303198,-0.7538944615701672,-0.7279825393717159,-0.025911922198451287,-0.0112628685552221
0.8770601880112319,-0.9999985552664326,-0.7541385566940737,-0.7282367742866188,-0.025901782407454887,-0.011079296243532653
0.8771822732267123,-0.9999984686688619,-0.7543826516115394,-0.7285071786740004,-0.025875472937539,-0.01088941091386986
0.8773043584421927,-0.9999983819373219,-0.7546267463222648,-0.7287937667651372,-0.0258329795571276,-0.01069332684651964
0.8774264436576731,-0.9999982950715578,-0.7548708408259708,-0.7290965427868072,-0.025774298039163535,-0.010491161843789933
0.8775485288731535,-0.999998208071305,-0.755114935122428,-0.7294155009398274,-0.025699434182600567,-0.010283037159420578
0.8776706140886339,-0.9999981209362804,-0.7553590292112677,-0.7297506253837054,-0.025608403827562354,-0.010069077426038011
0.8777926993041143,-0.9999980336662142,-0.7556031230922539,-0.7301018902274711,-0.025501232864782786,-0.009849410580698057
0.8779147845195947,-0.9999979462608172,-0.7558472167651,-0.7304692595266499,-0.025377957238450155,-0.009624167788561181
0.8780368697350751,-0.9999978587198358,-0.7560913102295035,-0.7308526872864435,-0.025238622943060007,-0.00939348336474568
0.8781589549505555,-0.9999977710430293,-0.7563354034852167,-0.7312521174710884,-0.025083286014128237,-0.009157494694405207
0.8782810401660359,-0.9999976832300301,-0.7565794965319006,-0.7316674840194203,-0.02491201251248032,-0.00891634215107816
0.8784031253815163,-0.9999975952806334,-0.7568235893692986,-0.7320987108666334,-0.02472487850266525,-0.008670169013357275
0.8785252105969967,-0.9999975071945738,-0.7570676819971387,-0.7325457119722502,-0.02452197002488854,-0.008419121379928878
0.8786472958124771,-0.9999974189714524,-0.7573117744150495,-0.733008391354266,-0.0243033830607835,-0.008163348083032028
0.8787693810279575,-0.9999973306111207,-0.7575558666228229,-0.7334866431295046,-0.024069223493318304,-0.007903000600388723
0.878891466243438,-0.9999972421132431,-0.757799958620138,-0.7339803515601081,-0.023819607060029946,-0.007638232965657205
0.8790135514589184,-0.9999971534775244,-0.7580440504066942,-0.7344893911062237,-0.023554659300470515,-0.007369201677461181
0.8791356366743988,-0.9999970647036833,-0.7582881419821923,-0.7350136264847849,-0.023274515497407444,-0.00709606560704861
0.8792577218898792,-0.9999969757914738,-0.7585322333463689,-0.7355529127344292,-0.022979320611939635,-0.006818985904634437
0.8793798071053596,-0.9999968867405442,-0.7587763244988853,-0.7361070952864768,-0.022669229212408548,-0.006538125904482404
0.87950189232084,-0.9999967975506562,-0.7590204154394601,-0.7366760100419735,-0.02234440539748661,-0.006253651028781726
0.8796239775363204,-0.9999967082214789,-0.7592645061677951,-0.7372594834547286,-0.02200502271306648,-0.005965728690375145
0.8797460627518008,-0.9999966187527956,-0.7595085966836269,-0.7378573326203496,-0.02165126406327733,-0.005674528194395427
0.8798681479672812,-0.999996529144196,-0.7597526869865711,-0.7384693653711762,-0.021283321615394812,-0.0053802206388680425
